palabra,Coldplay,Linkin Park,Eminem,The White Stripes,The Strokes,Arctic Monkeys,Muse,System of a Down,OutKast,The Killers,Beyoncé,Justin Timberlake,50 Cent,Kanye West,Amy Winehouse,total
could,137.0,149.0,629.0,59.0,31.0,61.0,97.0,20.0,56.0,56.0,234.0,291.0,399.0,435.0,41.0,2695.0
need,42.0,99.0,531.0,33.0,18.0,35.0,74.0,76.0,64.0,67.0,472.0,193.0,427.0,489.0,34.0,2654.0
put,57.0,125.0,642.0,31.0,6.0,35.0,1.0,26.0,40.0,37.0,356.0,137.0,816.0,277.0,34.0,2620.0
think,75.0,127.0,819.0,84.0,43.0,51.0,22.0,35.0,92.0,38.0,315.0,151.0,481.0,222.0,50.0,2605.0
give,51.0,160.0,580.0,50.0,47.0,37.0,54.0,23.0,76.0,67.0,297.0,297.0,475.0,273.0,8.0,2495.0
tell,57.0,88.0,494.0,56.0,53.0,44.0,39.0,21.0,65.0,50.0,289.0,230.0,471.0,460.0,33.0,2450.0
life,105.0,92.0,496.0,6.0,69.0,9.0,61.0,87.0,90.0,60.0,290.0,155.0,307.0,455.0,27.0,2309.0
look,47.0,104.0,531.0,37.0,22.0,42.0,15.0,32.0,75.0,62.0,222.0,126.0,562.0,398.0,11.0,2286.0
still,50.0,77.0,614.0,24.0,12.0,46.0,23.0,13.0,50.0,52.0,229.0,168.0,411.0,389.0,33.0,2191.0
niggas,3.0,1.0,307.0,0.0,0.0,0.0,0.0,13.0,43.0,0.0,39.0,17.0,1338.0,411.0,0.0,2172.0
said,92.0,80.0,546.0,66.0,90.0,81.0,3.0,13.0,70.0,66.0,176.0,131.0,358.0,291.0,32.0,2095.0
keep,35.0,101.0,501.0,27.0,7.0,30.0,29.0,8.0,60.0,62.0,294.0,152.0,404.0,363.0,22.0,2095.0
good,55.0,42.0,307.0,45.0,18.0,46.0,34.0,19.0,91.0,50.0,406.0,151.0,393.0,369.0,62.0,2088.0
around,65.0,60.0,443.0,28.0,35.0,61.0,14.0,51.0,75.0,65.0,260.0,175.0,580.0,152.0,23.0,2087.0
us,81.0,92.0,579.0,13.0,30.0,46.0,127.0,69.0,63.0,44.0,156.0,130.0,293.0,331.0,13.0,2067.0
chorus,0.0,20.0,604.0,4.0,1.0,1.0,0.0,0.0,120.0,4.0,91.0,94.0,897.0,132.0,4.0,1972.0
little,35.0,101.0,673.0,111.0,23.0,46.0,5.0,62.0,53.0,50.0,216.0,113.0,286.0,152.0,18.0,1944.0
away,88.0,414.0,249.0,48.0,30.0,49.0,83.0,94.0,26.0,94.0,152.0,218.0,145.0,181.0,27.0,1898.0
money,11.0,13.0,216.0,18.0,8.0,6.0,1.0,12.0,31.0,13.0,121.0,47.0,1071.0,309.0,2.0,1879.0
would,54.0,89.0,541.0,41.0,33.0,42.0,23.0,19.0,47.0,22.0,154.0,166.0,258.0,254.0,44.0,1787.0
even,16.0,137.0,661.0,18.0,18.0,17.0,14.0,13.0,71.0,17.0,144.0,91.0,270.0,282.0,15.0,1784.0
ass,0.0,6.0,653.0,1.0,0.0,0.0,7.0,47.0,69.0,0.0,76.0,14.0,706.0,190.0,1.0,1770.0
new,20.0,30.0,331.0,23.0,32.0,23.0,41.0,15.0,34.0,13.0,107.0,58.0,601.0,394.0,17.0,1739.0
night,90.0,66.0,270.0,30.0,36.0,41.0,19.0,14.0,29.0,96.0,350.0,235.0,171.0,253.0,31.0,1731.0
hey,11.0,43.0,203.0,8.0,35.0,4.0,30.0,49.0,70.0,36.0,547.0,320.0,100.0,251.0,8.0,1715.0
ta,16.0,44.0,420.0,7.0,9.0,5.0,10.0,11.0,46.0,32.0,208.0,193.0,423.0,270.0,20.0,1714.0
world,147.0,88.0,386.0,16.0,32.0,15.0,67.0,57.0,71.0,55.0,293.0,132.0,127.0,177.0,5.0,1668.0
yo,1.0,34.0,589.0,0.0,0.0,0.0,0.0,18.0,93.0,0.0,159.0,36.0,470.0,230.0,4.0,1634.0
day,97.0,101.0,404.0,19.0,36.0,25.0,17.0,40.0,95.0,31.0,176.0,132.0,172.0,235.0,50.0,1630.0
head,66.0,102.0,414.0,12.0,15.0,14.0,23.0,18.0,51.0,45.0,80.0,139.0,432.0,188.0,22.0,1621.0
wo,66.0,181.0,412.0,16.0,66.0,53.0,72.0,15.0,54.0,24.0,222.0,71.0,176.0,141.0,45.0,1614.0
every,82.0,152.0,427.0,31.0,10.0,15.0,9.0,26.0,50.0,44.0,188.0,106.0,213.0,244.0,15.0,1612.0
uh,12.0,16.0,192.0,1.0,5.0,22.0,0.0,1.0,68.0,23.0,447.0,122.0,295.0,373.0,4.0,1581.0
better,20.0,74.0,508.0,16.0,11.0,23.0,2.0,8.0,78.0,52.0,146.0,116.0,311.0,201.0,15.0,1581.0
run,38.0,90.0,324.0,8.0,29.0,24.0,20.0,37.0,35.0,70.0,283.0,30.0,416.0,141.0,7.0,1552.0
stop,42.0,147.0,381.0,14.0,28.0,23.0,25.0,24.0,52.0,26.0,165.0,129.0,243.0,217.0,20.0,1536.0
boy,31.0,9.0,291.0,23.0,6.0,8.0,3.0,17.0,59.0,46.0,405.0,78.0,351.0,133.0,19.0,1479.0
call,37.0,25.0,436.0,10.0,4.0,26.0,6.0,19.0,76.0,28.0,134.0,64.0,399.0,191.0,7.0,1462.0
hit,8.0,61.0,478.0,9.0,1.0,6.0,2.0,2.0,67.0,10.0,51.0,83.0,504.0,164.0,4.0,1450.0
ever,85.0,45.0,477.0,18.0,12.0,37.0,16.0,36.0,35.0,29.0,126.0,70.0,148.0,258.0,22.0,1414.0
cent,0.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1234.0,3.0,1.0,1382.0
try,56.0,135.0,390.0,11.0,36.0,27.0,20.0,43.0,42.0,12.0,107.0,89.0,273.0,110.0,14.0,1365.0
ooh,204.0,38.0,121.0,0.0,18.0,22.0,35.0,1.0,26.0,14.0,363.0,333.0,39.0,91.0,46.0,1351.0
find,68.0,197.0,226.0,18.0,26.0,16.0,41.0,23.0,31.0,39.0,149.0,83.0,231.0,138.0,21.0,1307.0
