palabra,U2,Michael Jackson,Madonna,Guns N' Roses,Metallica,The Police,Bon Jovi,Duran Duran,The Cure,Prince,Whitney Houston,Depeche Mode,Talking Heads,Tears for Fears,New Order,total
believe,119.0,76.0,260.0,54.0,43.0,5.0,179.0,94.0,79.0,161.0,96.0,47.0,20.0,36.0,64.0,1333.0
everybody,35.0,101.0,356.0,29.0,1.0,13.0,92.0,22.0,3.0,603.0,25.0,17.0,6.0,26.0,2.0,1331.0
gone,42.0,131.0,490.0,29.0,104.0,25.0,113.0,41.0,72.0,134.0,31.0,15.0,19.0,34.0,36.0,1316.0
tonight,130.0,136.0,296.0,100.0,22.0,5.0,259.0,68.0,77.0,118.0,44.0,36.0,1.0,8.0,11.0,1311.0
better,43.0,152.0,268.0,78.0,53.0,11.0,94.0,44.0,27.0,404.0,36.0,36.0,27.0,32.0,2.0,1307.0
hold,92.0,245.0,271.0,28.0,33.0,7.0,171.0,50.0,77.0,147.0,98.0,24.0,30.0,11.0,22.0,1306.0
live,67.0,109.0,280.0,51.0,51.0,16.0,219.0,24.0,23.0,308.0,29.0,14.0,44.0,7.0,25.0,1267.0
turn,64.0,86.0,428.0,21.0,58.0,14.0,72.0,49.0,60.0,280.0,22.0,35.0,23.0,20.0,33.0,1265.0
another,44.0,108.0,220.0,52.0,73.0,37.0,99.0,39.0,99.0,368.0,9.0,51.0,6.0,11.0,43.0,1259.0
bitch,0.0,3.0,1083.0,66.0,8.0,0.0,4.0,2.0,0.0,88.0,0.0,0.0,0.0,1.0,0.0,1255.0
far,24.0,49.0,779.0,24.0,27.0,8.0,47.0,30.0,36.0,93.0,38.0,26.0,21.0,21.0,21.0,1244.0
still,140.0,93.0,143.0,46.0,73.0,35.0,191.0,57.0,61.0,226.0,53.0,41.0,38.0,18.0,22.0,1237.0
music,23.0,31.0,890.0,3.0,5.0,2.0,19.0,27.0,1.0,196.0,6.0,2.0,5.0,0.0,2.0,1212.0
put,47.0,97.0,441.0,37.0,30.0,37.0,68.0,48.0,18.0,278.0,17.0,43.0,32.0,13.0,6.0,1212.0
mind,56.0,103.0,138.0,52.0,59.0,15.0,73.0,120.0,34.0,348.0,48.0,41.0,44.0,40.0,37.0,1208.0
people,53.0,94.0,344.0,14.0,22.0,14.0,54.0,55.0,28.0,303.0,65.0,37.0,65.0,14.0,38.0,1200.0
light,126.0,51.0,299.0,10.0,83.0,40.0,71.0,92.0,22.0,207.0,29.0,84.0,18.0,31.0,25.0,1188.0
home,115.0,78.0,223.0,65.0,33.0,31.0,223.0,33.0,31.0,156.0,61.0,37.0,27.0,9.0,50.0,1172.0
ta,50.0,172.0,205.0,67.0,28.0,5.0,127.0,12.0,2.0,359.0,77.0,1.0,2.0,4.0,45.0,1156.0
well,121.0,72.0,132.0,135.0,41.0,23.0,172.0,26.0,21.0,201.0,46.0,66.0,38.0,25.0,25.0,1144.0
new,99.0,40.0,221.0,18.0,25.0,19.0,124.0,50.0,30.0,414.0,25.0,34.0,5.0,27.0,7.0,1138.0
inside,79.0,97.0,307.0,44.0,70.0,17.0,81.0,34.0,80.0,141.0,40.0,72.0,20.0,5.0,33.0,1120.0
thing,87.0,89.0,372.0,14.0,21.0,33.0,75.0,51.0,35.0,244.0,27.0,19.0,17.0,19.0,16.0,1119.0
call,41.0,84.0,325.0,35.0,40.0,19.0,108.0,40.0,17.0,296.0,42.0,20.0,12.0,16.0,20.0,1115.0
