palabra,U2,Michael Jackson,Madonna,Guns N' Roses,Metallica,The Police,Bon Jovi,Duran Duran,The Cure,Prince,Whitney Houston,Depeche Mode,Talking Heads,Tears for Fears,New Order,total
seven,5.0,8.0,8.0,2.0,2.0,9.0,10.0,4.0,5.0,10.0,0.0,11.0,1.0,1.0,0.0,76.0
begun,5.0,3.0,1.0,3.0,8.0,2.0,5.0,0.0,0.0,37.0,4.0,3.0,0.0,1.0,4.0,76.0
ven,0.0,2.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
thieves,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,61.0,0.0,1.0,1.0,1.0,2.0,76.0
cryin,1.0,19.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,42.0,5.0,0.0,0.0,0.0,0.0,76.0
mami,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
hurry,1.0,4.0,36.0,0.0,3.0,1.0,3.0,0.0,0.0,21.0,3.0,0.0,4.0,0.0,0.0,76.0
sleeping,11.0,9.0,7.0,2.0,3.0,3.0,16.0,0.0,7.0,6.0,1.0,3.0,4.0,2.0,1.0,75.0
wont,12.0,4.0,14.0,5.0,0.0,0.0,10.0,2.0,7.0,14.0,3.0,0.0,1.0,0.0,3.0,75.0
brings,9.0,3.0,11.0,4.0,9.0,2.0,7.0,1.0,4.0,8.0,3.0,4.0,0.0,1.0,9.0,75.0
beg,4.0,6.0,5.0,0.0,3.0,0.0,13.0,1.0,9.0,23.0,5.0,0.0,0.0,1.0,5.0,75.0
blessed,16.0,7.0,14.0,0.0,0.0,1.0,5.0,2.0,0.0,20.0,1.0,8.0,0.0,1.0,0.0,75.0
imagine,1.0,7.0,0.0,0.0,2.0,2.0,10.0,4.0,3.0,20.0,18.0,2.0,1.0,5.0,0.0,75.0
bell,4.0,0.0,52.0,2.0,7.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,75.0
conmigo,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
lovely,7.0,18.0,26.0,0.0,4.0,0.0,2.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,75.0
não,0.0,6.0,33.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,17.0,0.0,0.0,0.0,75.0
ddown,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
profusion,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
fair,4.0,8.0,15.0,4.0,3.0,0.0,9.0,0.0,6.0,17.0,7.0,0.0,0.0,1.0,0.0,74.0
attitude,0.0,1.0,37.0,16.0,5.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,74.0
nasty,0.0,8.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,0.0,74.0
quiet,6.0,9.0,6.0,2.0,3.0,1.0,1.0,13.0,11.0,9.0,6.0,0.0,5.0,1.0,1.0,74.0
suffer,2.0,2.0,13.0,2.0,17.0,4.0,0.0,7.0,2.0,5.0,0.0,13.0,0.0,6.0,1.0,74.0
secrets,4.0,2.0,7.0,1.0,2.0,1.0,15.0,11.0,6.0,8.0,2.0,4.0,2.0,8.0,1.0,74.0
saturday,14.0,6.0,0.0,1.0,1.0,3.0,32.0,1.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,74.0
cure,5.0,2.0,0.0,2.0,11.0,3.0,32.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,2.0,74.0
pressure,7.0,13.0,11.0,3.0,1.0,0.0,2.0,27.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,74.0
saved,19.0,1.0,16.0,1.0,2.0,0.0,13.0,1.0,1.0,13.0,1.0,0.0,2.0,4.0,0.0,74.0
table,7.0,3.0,0.0,2.0,6.0,2.0,14.0,3.0,2.0,25.0,1.0,2.0,5.0,1.0,1.0,74.0
ohohoh,0.0,0.0,49.0,0.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,74.0
hanky,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
ahh,0.0,2.0,36.0,1.0,0.0,0.0,2.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,73.0
asked,6.0,3.0,12.0,7.0,1.0,3.0,7.0,4.0,7.0,15.0,3.0,1.0,1.0,2.0,1.0,73.0
busy,5.0,1.0,4.0,0.0,0.0,0.0,9.0,3.0,3.0,42.0,2.0,1.0,2.0,0.0,1.0,73.0
hero,5.0,6.0,5.0,2.0,1.0,9.0,25.0,0.0,5.0,12.0,2.0,0.0,1.0,0.0,0.0,73.0
pictures,1.0,3.0,1.0,4.0,0.0,0.0,20.0,4.0,13.0,11.0,1.0,11.0,1.0,2.0,1.0,73.0
case,4.0,5.0,5.0,7.0,3.0,2.0,2.0,6.0,11.0,16.0,0.0,5.0,0.0,2.0,5.0,73.0
panky,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
es,2.0,4.0,42.0,1.0,0.0,0.0,9.0,10.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,73.0
games,2.0,6.0,10.0,5.0,2.0,1.0,9.0,1.0,10.0,13.0,2.0,10.0,2.0,0.0,0.0,73.0
sitting,6.0,11.0,8.0,3.0,4.0,2.0,11.0,4.0,2.0,8.0,4.0,5.0,1.0,1.0,3.0,73.0
bust,0.0,2.0,20.0,1.0,0.0,0.0,0.0,2.0,0.0,46.0,1.0,0.0,0.0,1.0,0.0,73.0
como,0.0,6.0,25.0,0.0,0.0,0.0,19.0,5.0,14.0,2.0,0.0,2.0,0.0,0.0,0.0,73.0
torn,10.0,3.0,4.0,1.0,14.0,3.0,9.0,7.0,1.0,10.0,3.0,6.0,1.0,1.0,0.0,73.0
witness,6.0,0.0,4.0,1.0,3.0,0.0,1.0,3.0,0.0,53.0,0.0,2.0,0.0,0.0,0.0,73.0
diamond,4.0,2.0,19.0,0.0,1.0,0.0,25.0,11.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,73.0
attraction,0.0,2.0,57.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,72.0
spell,6.0,5.0,20.0,1.0,12.0,0.0,4.0,6.0,2.0,7.0,5.0,2.0,0.0,2.0,0.0,72.0
bought,4.0,0.0,6.0,4.0,1.0,1.0,12.0,4.0,0.0,31.0,0.0,2.0,3.0,0.0,4.0,72.0
double,1.0,9.0,9.0,5.0,2.0,0.0,4.0,0.0,0.0,32.0,3.0,0.0,6.0,1.0,0.0,72.0
filled,9.0,13.0,3.0,1.0,6.0,5.0,8.0,3.0,4.0,7.0,8.0,2.0,1.0,0.0,2.0,72.0
regret,4.0,9.0,23.0,7.0,1.0,0.0,6.0,0.0,8.0,3.0,2.0,4.0,2.0,0.0,3.0,72.0
changing,2.0,7.0,5.0,2.0,2.0,2.0,2.0,8.0,7.0,7.0,8.0,7.0,5.0,1.0,6.0,71.0
grown,4.0,3.0,16.0,3.0,5.0,3.0,5.0,2.0,4.0,16.0,0.0,0.0,4.0,1.0,5.0,71.0
truly,3.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,55.0,1.0,2.0,0.0,0.0,0.0,71.0
girlfriend,0.0,6.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,46.0,0.0,0.0,8.0,1.0,1.0,71.0
handle,2.0,0.0,37.0,1.0,0.0,0.0,5.0,1.0,1.0,16.0,7.0,0.0,0.0,1.0,0.0,71.0
temptation,1.0,0.0,0.0,0.0,20.0,2.0,9.0,17.0,0.0,11.0,3.0,5.0,0.0,3.0,0.0,71.0
reaction,0.0,3.0,46.0,1.0,1.0,1.0,0.0,2.0,0.0,11.0,0.0,2.0,1.0,0.0,2.0,70.0
stick,6.0,7.0,3.0,5.0,3.0,1.0,6.0,5.0,1.0,26.0,1.0,2.0,2.0,2.0,0.0,70.0
legs,2.0,4.0,4.0,0.0,8.0,2.0,1.0,5.0,7.0,33.0,0.0,1.0,3.0,0.0,0.0,70.0
kissing,0.0,4.0,34.0,1.0,0.0,0.0,1.0,0.0,8.0,3.0,19.0,0.0,0.0,0.0,0.0,70.0
letting,2.0,9.0,4.0,1.0,1.0,2.0,6.0,2.0,5.0,4.0,1.0,12.0,16.0,4.0,1.0,70.0
justice,6.0,0.0,11.0,1.0,25.0,0.0,6.0,1.0,0.0,14.0,2.0,1.0,3.0,0.0,0.0,70.0
silver,22.0,1.0,5.0,1.0,2.0,0.0,9.0,4.0,5.0,7.0,5.0,5.0,1.0,3.0,0.0,70.0
michael,1.0,53.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,70.0
bop,0.0,4.0,4.0,0.0,0.0,0.0,1.0,48.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,70.0
magazine,0.0,12.0,35.0,1.0,1.0,2.0,1.0,6.0,0.0,5.0,2.0,3.0,0.0,1.0,0.0,69.0
dada,0.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,69.0
amor,0.0,35.0,6.0,0.0,0.0,0.0,17.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,69.0
danger,4.0,8.0,13.0,1.0,9.0,0.0,7.0,10.0,0.0,2.0,4.0,4.0,1.0,1.0,5.0,69.0
resist,2.0,4.0,5.0,1.0,3.0,0.0,3.0,17.0,3.0,27.0,2.0,1.0,0.0,1.0,0.0,69.0
johnny,7.0,6.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,13.0,0.0,0.0,1.0,9.0,11.0,69.0
moonlight,2.0,28.0,2.0,0.0,0.0,0.0,6.0,16.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,69.0
slam,1.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,57.0,1.0,0.0,1.0,0.0,0.0,69.0
illusion,4.0,0.0,39.0,2.0,2.0,1.0,0.0,4.0,1.0,11.0,0.0,2.0,0.0,2.0,1.0,69.0
bass,1.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,69.0
ears,3.0,2.0,31.0,1.0,5.0,2.0,2.0,1.0,0.0,14.0,1.0,1.0,3.0,2.0,1.0,69.0
runs,12.0,2.0,4.0,1.0,24.0,2.0,5.0,2.0,3.0,5.0,3.0,1.0,0.0,1.0,4.0,69.0
simple,5.0,14.0,1.0,4.0,3.0,2.0,5.0,0.0,4.0,12.0,3.0,3.0,5.0,5.0,2.0,68.0
letter,4.0,14.0,2.0,3.0,0.0,0.0,4.0,0.0,3.0,23.0,9.0,3.0,1.0,0.0,2.0,68.0
fix,6.0,14.0,0.0,3.0,7.0,0.0,10.0,4.0,1.0,15.0,1.0,1.0,3.0,1.0,2.0,68.0
plain,7.0,3.0,2.0,0.0,0.0,1.0,3.0,5.0,2.0,30.0,6.0,3.0,0.0,3.0,3.0,68.0
quicker,1.0,1.0,61.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0
order,3.0,1.0,6.0,0.0,4.0,1.0,1.0,1.0,2.0,47.0,0.0,0.0,0.0,1.0,1.0,68.0
pleasure,2.0,4.0,13.0,2.0,4.0,2.0,0.0,2.0,2.0,8.0,2.0,16.0,1.0,6.0,4.0,68.0
art,1.0,1.0,19.0,1.0,1.0,1.0,6.0,1.0,2.0,31.0,2.0,1.0,0.0,1.0,0.0,68.0
affair,1.0,1.0,24.0,0.0,0.0,1.0,1.0,3.0,0.0,30.0,2.0,1.0,1.0,1.0,2.0,68.0
ay,0.0,2.0,55.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
scars,3.0,0.0,11.0,5.0,29.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,68.0
clock,5.0,1.0,12.0,1.0,6.0,1.0,5.0,0.0,1.0,33.0,1.0,2.0,0.0,0.0,0.0,68.0
cup,12.0,1.0,13.0,5.0,2.0,1.0,11.0,2.0,0.0,16.0,2.0,0.0,2.0,0.0,1.0,68.0
brown,9.0,1.0,2.0,0.0,0.0,1.0,17.0,1.0,0.0,28.0,1.0,0.0,0.0,5.0,2.0,67.0
promises,10.0,8.0,5.0,3.0,0.0,2.0,16.0,6.0,10.0,1.0,1.0,4.0,0.0,1.0,0.0,67.0
eh,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,0.0,0.0,0.0,0.0,67.0
cage,11.0,1.0,11.0,0.0,2.0,2.0,1.0,2.0,4.0,27.0,0.0,3.0,0.0,3.0,0.0,67.0
bird,11.0,3.0,16.0,1.0,5.0,4.0,2.0,4.0,3.0,13.0,1.0,0.0,1.0,1.0,2.0,67.0
circle,2.0,0.0,25.0,0.0,3.0,0.0,3.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,1.0,67.0
knockin,10.0,1.0,0.0,25.0,0.0,0.0,16.0,0.0,0.0,10.0,4.0,0.0,1.0,0.0,0.0,67.0
glam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0
soy,0.0,2.0,24.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,67.0
brighter,3.0,41.0,4.0,3.0,0.0,1.0,2.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,67.0
building,3.0,1.0,3.0,1.0,0.0,2.0,21.0,0.0,2.0,8.0,5.0,1.0,16.0,2.0,1.0,66.0
movie,3.0,8.0,0.0,11.0,0.0,1.0,6.0,7.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,66.0
va,3.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,66.0
week,7.0,0.0,3.0,2.0,0.0,0.0,8.0,1.0,4.0,18.0,4.0,4.0,14.0,0.0,1.0,66.0
zero,1.0,0.0,0.0,0.0,6.0,0.0,0.0,21.0,0.0,17.0,0.0,21.0,0.0,0.0,0.0,66.0
bridge,4.0,6.0,2.0,0.0,0.0,0.0,13.0,3.0,7.0,21.0,9.0,0.0,0.0,0.0,1.0,66.0
wheel,6.0,1.0,7.0,1.0,10.0,3.0,8.0,1.0,1.0,5.0,0.0,3.0,15.0,2.0,3.0,66.0
playin,0.0,5.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,66.0
fucking,0.0,1.0,12.0,23.0,11.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,3.0,0.0,66.0
merry,1.0,1.0,0.0,2.0,0.0,0.0,30.0,0.0,2.0,1.0,28.0,0.0,0.0,1.0,0.0,66.0
hoping,4.0,6.0,14.0,0.0,6.0,4.0,6.0,2.0,7.0,9.0,1.0,3.0,0.0,1.0,3.0,66.0
bow,0.0,4.0,8.0,0.0,9.0,1.0,3.0,4.0,1.0,23.0,8.0,2.0,0.0,3.0,0.0,66.0
bless,0.0,7.0,27.0,1.0,1.0,0.0,17.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,66.0
stories,15.0,4.0,23.0,2.0,5.0,1.0,6.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,65.0
shoo,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,0.0,1.0,0.0,0.0,65.0
ending,0.0,1.0,28.0,0.0,11.0,0.0,5.0,1.0,4.0,11.0,0.0,0.0,1.0,3.0,0.0,65.0
satisfaction,0.0,0.0,28.0,9.0,6.0,0.0,3.0,2.0,0.0,9.0,0.0,2.0,0.0,0.0,6.0,65.0
bounce,0.0,0.0,2.0,0.0,0.0,2.0,38.0,0.0,1.0,21.0,0.0,0.0,1.0,0.0,0.0,65.0
hesitation,0.0,0.0,56.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,65.0
roses,2.0,2.0,19.0,10.0,0.0,1.0,22.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,65.0
fits,0.0,2.0,54.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,65.0
boat,4.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,46.0,0.0,1.0,3.0,0.0,0.0,65.0
toy,3.0,5.0,24.0,2.0,4.0,4.0,0.0,2.0,1.0,17.0,0.0,1.0,0.0,2.0,0.0,65.0
impossible,2.0,9.0,3.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,31.0,8.0,1.0,0.0,0.0,65.0
amen,8.0,0.0,24.0,0.0,5.0,0.0,21.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,65.0
waves,29.0,0.0,0.0,2.0,1.0,2.0,10.0,2.0,6.0,2.0,1.0,3.0,0.0,6.0,1.0,65.0
evening,13.0,11.0,1.0,0.0,1.0,5.0,2.0,14.0,1.0,8.0,3.0,2.0,1.0,0.0,2.0,64.0
hmm,1.0,2.0,31.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,4.0,0.0,1.0,0.0,0.0,64.0
animal,3.0,9.0,18.0,1.0,0.0,0.0,0.0,1.0,8.0,16.0,1.0,2.0,2.0,3.0,0.0,64.0
addicted,1.0,2.0,52.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,64.0
hiding,10.0,6.0,1.0,0.0,8.0,1.0,17.0,4.0,6.0,2.0,1.0,4.0,0.0,3.0,1.0,64.0
women,4.0,3.0,3.0,11.0,0.0,1.0,7.0,2.0,0.0,31.0,0.0,0.0,2.0,0.0,0.0,64.0
drown,11.0,2.0,0.0,2.0,2.0,1.0,3.0,7.0,4.0,12.0,0.0,10.0,1.0,9.0,0.0,64.0
anger,1.0,0.0,8.0,2.0,34.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,0.0,4.0,0.0,64.0
skies,13.0,3.0,8.0,3.0,11.0,1.0,9.0,1.0,3.0,3.0,3.0,4.0,0.0,2.0,0.0,64.0
bourgeoisie,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
watched,9.0,1.0,22.0,2.0,4.0,2.0,6.0,0.0,3.0,7.0,3.0,1.0,0.0,1.0,3.0,64.0
careful,3.0,25.0,10.0,5.0,5.0,0.0,0.0,3.0,1.0,4.0,1.0,3.0,4.0,0.0,0.0,64.0
breaks,5.0,4.0,5.0,0.0,3.0,0.0,12.0,1.0,8.0,6.0,1.0,3.0,0.0,8.0,7.0,63.0
dirt,8.0,5.0,3.0,0.0,13.0,0.0,12.0,4.0,5.0,4.0,2.0,4.0,1.0,0.0,2.0,63.0
rhyme,7.0,3.0,6.0,2.0,2.0,0.0,8.0,4.0,0.0,22.0,5.0,2.0,0.0,1.0,1.0,63.0
stood,5.0,4.0,4.0,0.0,3.0,5.0,10.0,3.0,6.0,9.0,3.0,1.0,1.0,2.0,7.0,63.0
mary,2.0,10.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,24.0,7.0,1.0,2.0,0.0,1.0,63.0
foot,9.0,4.0,0.0,2.0,0.0,1.0,12.0,0.0,7.0,19.0,0.0,2.0,2.0,2.0,3.0,63.0
plastic,2.0,0.0,1.0,3.0,0.0,0.0,7.0,13.0,22.0,5.0,0.0,8.0,0.0,1.0,1.0,63.0
begins,8.0,4.0,23.0,0.0,2.0,2.0,1.0,4.0,2.0,6.0,3.0,2.0,1.0,3.0,2.0,63.0
twist,5.0,1.0,3.0,1.0,4.0,1.0,20.0,9.0,10.0,4.0,0.0,2.0,2.0,1.0,0.0,63.0
thief,10.0,0.0,34.0,1.0,0.0,0.0,11.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,63.0
beats,7.0,1.0,19.0,6.0,3.0,0.0,10.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,8.0,63.0
tied,15.0,0.0,3.0,13.0,7.0,3.0,1.0,6.0,2.0,7.0,0.0,3.0,1.0,0.0,2.0,63.0
sample,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,63.0
bleeding,5.0,0.0,6.0,0.0,24.0,0.0,19.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0
cherish,0.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0
dick,0.0,0.0,37.0,14.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,63.0
bg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0
final,1.0,1.0,0.0,1.0,15.0,2.0,8.0,4.0,7.0,9.0,2.0,3.0,0.0,3.0,6.0,62.0
beast,0.0,7.0,30.0,0.0,8.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,0.0,62.0
seemed,1.0,12.0,19.0,1.0,2.0,6.0,2.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0,3.0,62.0
country,22.0,8.0,6.0,1.0,0.0,1.0,7.0,3.0,0.0,9.0,2.0,0.0,1.0,0.0,2.0,62.0
destiny,1.0,14.0,12.0,1.0,6.0,5.0,0.0,1.0,1.0,10.0,4.0,3.0,0.0,1.0,3.0,62.0
bitter,8.0,3.0,9.0,4.0,4.0,3.0,10.0,3.0,0.0,11.0,2.0,3.0,2.0,0.0,0.0,62.0
reality,3.0,5.0,2.0,0.0,9.0,2.0,7.0,5.0,2.0,16.0,2.0,7.0,1.0,1.0,0.0,62.0
damned,1.0,6.0,0.0,1.0,0.0,0.0,28.0,1.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,62.0
drag,3.0,2.0,1.0,14.0,0.0,0.0,8.0,4.0,5.0,22.0,1.0,0.0,0.0,2.0,0.0,62.0
nite,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,62.0
joint,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,62.0
drunk,5.0,3.0,32.0,0.0,7.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,62.0
company,14.0,0.0,7.0,1.0,6.0,2.0,5.0,3.0,0.0,17.0,1.0,2.0,0.0,0.0,4.0,62.0
forgot,5.0,2.0,28.0,3.0,2.0,0.0,5.0,2.0,0.0,6.0,1.0,1.0,6.0,0.0,1.0,62.0
candle,5.0,2.0,6.0,3.0,3.0,2.0,7.0,2.0,0.0,25.0,2.0,0.0,0.0,5.0,0.0,62.0
none,10.0,4.0,6.0,4.0,2.0,1.0,4.0,9.0,8.0,10.0,1.0,2.0,0.0,1.0,0.0,62.0
grows,9.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,15.0,13.0,2.0,1.0,1.0,0.0,5.0,61.0
mark,9.0,0.0,8.0,0.0,2.0,3.0,5.0,5.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,61.0
shakin,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,0.0,61.0
fit,9.0,1.0,3.0,3.0,2.0,2.0,14.0,5.0,3.0,12.0,1.0,0.0,4.0,2.0,0.0,61.0
park,1.0,6.0,4.0,1.0,0.0,0.0,7.0,6.0,0.0,30.0,0.0,0.0,3.0,0.0,3.0,61.0
knocking,22.0,0.0,3.0,1.0,0.0,0.0,6.0,3.0,0.0,11.0,0.0,9.0,1.0,5.0,0.0,61.0
precious,5.0,4.0,5.0,3.0,1.0,3.0,3.0,7.0,3.0,12.0,6.0,5.0,1.0,2.0,1.0,61.0
breeze,14.0,1.0,29.0,0.0,1.0,0.0,3.0,4.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,61.0
neck,3.0,1.0,4.0,1.0,16.0,0.0,3.0,1.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,61.0
willing,1.0,2.0,5.0,3.0,1.0,1.0,10.0,0.0,0.0,32.0,3.0,3.0,0.0,0.0,0.0,61.0
screams,2.0,0.0,0.0,1.0,5.0,1.0,5.0,4.0,14.0,27.0,0.0,2.0,0.0,0.0,0.0,61.0
sees,15.0,1.0,8.0,0.0,1.0,3.0,10.0,5.0,1.0,8.0,0.0,0.0,4.0,4.0,1.0,61.0
judge,2.0,11.0,8.0,3.0,12.0,1.0,8.0,0.0,0.0,4.0,0.0,2.0,1.0,7.0,1.0,60.0
sha,5.0,0.0,7.0,0.0,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,60.0
vain,3.0,7.0,8.0,2.0,12.0,1.0,6.0,4.0,1.0,10.0,1.0,2.0,1.0,0.0,2.0,60.0
takin,0.0,19.0,6.0,3.0,1.0,1.0,5.0,0.0,0.0,23.0,0.0,0.0,2.0,0.0,0.0,60.0
ordinary,12.0,0.0,4.0,2.0,5.0,0.0,14.0,12.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,60.0
suck,3.0,1.0,5.0,4.0,18.0,0.0,1.0,1.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,60.0
taught,2.0,5.0,21.0,5.0,2.0,0.0,5.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,60.0
recognize,1.0,2.0,40.0,0.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,60.0
guilty,3.0,0.0,13.0,0.0,8.0,0.0,9.0,2.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,60.0
revolution,10.0,0.0,14.0,0.0,0.0,1.0,11.0,1.0,0.0,8.0,0.0,7.0,5.0,3.0,0.0,60.0
noone,9.0,2.0,7.0,0.0,0.0,1.0,4.0,12.0,14.0,2.0,0.0,8.0,0.0,0.0,1.0,60.0
wire,4.0,0.0,9.0,2.0,11.0,2.0,11.0,6.0,2.0,8.0,0.0,1.0,1.0,2.0,1.0,60.0
deny,11.0,2.0,3.0,9.0,4.0,3.0,13.0,1.0,1.0,3.0,3.0,2.0,0.0,2.0,3.0,60.0
cant,3.0,10.0,4.0,3.0,4.0,0.0,4.0,0.0,3.0,20.0,5.0,1.0,3.0,0.0,0.0,60.0
guys,1.0,4.0,16.0,2.0,1.0,10.0,7.0,6.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,60.0
hips,2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,2.0,2.0,1.0,0.0,60.0
box,13.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,0.0,20.0,0.0,1.0,0.0,2.0,0.0,59.0
bite,2.0,3.0,0.0,0.0,14.0,0.0,4.0,6.0,9.0,15.0,3.0,0.0,1.0,2.0,0.0,59.0
age,4.0,13.0,2.0,0.0,3.0,2.0,2.0,3.0,4.0,19.0,0.0,0.0,1.0,5.0,1.0,59.0
lifetime,6.0,4.0,5.0,1.0,6.0,4.0,4.0,5.0,0.0,4.0,6.0,1.0,8.0,0.0,5.0,59.0
