palabra,Queen,Black Sabbath,Fleetwood Mac,Bee Gees,AC/DC,Eagles,The Clash,ABBA,Ramones,Sex Pistols,The Jackson 5,The Carpenters,The Village People,The Stylistics,total
ca,157.0,126.0,217.0,304.0,132.0,61.0,73.0,65.0,184.0,44.0,204.0,101.0,25.0,69.0,1762.0
make,163.0,48.0,169.0,385.0,165.0,38.0,55.0,93.0,68.0,11.0,215.0,86.0,17.0,82.0,1595.0
say,143.0,113.0,185.0,339.0,37.0,48.0,92.0,68.0,93.0,23.0,222.0,127.0,30.0,69.0,1589.0
way,127.0,99.0,182.0,335.0,156.0,59.0,45.0,81.0,71.0,32.0,198.0,109.0,27.0,52.0,1573.0
life,167.0,197.0,77.0,419.0,35.0,46.0,46.0,88.0,119.0,17.0,142.0,94.0,27.0,38.0,1512.0
night,83.0,108.0,164.0,432.0,207.0,72.0,57.0,82.0,67.0,7.0,67.0,81.0,44.0,25.0,1496.0
take,189.0,150.0,125.0,301.0,159.0,44.0,48.0,113.0,75.0,19.0,123.0,64.0,41.0,45.0,1496.0
want,146.0,64.0,147.0,237.0,178.0,40.0,59.0,35.0,225.0,30.0,170.0,70.0,36.0,23.0,1460.0
back,180.0,73.0,150.0,151.0,195.0,34.0,72.0,42.0,98.0,8.0,135.0,67.0,12.0,75.0,1292.0
away,101.0,165.0,172.0,352.0,46.0,46.0,29.0,40.0,76.0,16.0,113.0,92.0,8.0,23.0,1279.0
world,132.0,110.0,100.0,393.0,25.0,47.0,26.0,71.0,76.0,34.0,101.0,88.0,17.0,52.0,1272.0
man,158.0,91.0,94.0,242.0,150.0,41.0,68.0,115.0,41.0,19.0,72.0,25.0,78.0,17.0,1211.0
day,150.0,71.0,107.0,221.0,66.0,46.0,36.0,76.0,66.0,22.0,125.0,117.0,16.0,62.0,1181.0
heart,150.0,51.0,128.0,379.0,35.0,33.0,16.0,39.0,59.0,5.0,99.0,83.0,9.0,53.0,1139.0
wan,68.0,47.0,58.0,193.0,94.0,26.0,68.0,77.0,251.0,53.0,106.0,13.0,69.0,13.0,1136.0
need,103.0,56.0,173.0,213.0,103.0,13.0,39.0,44.0,58.0,27.0,157.0,66.0,49.0,19.0,1120.0
feel,84.0,122.0,123.0,165.0,111.0,32.0,27.0,94.0,61.0,13.0,128.0,62.0,23.0,38.0,1083.0
give,117.0,41.0,95.0,235.0,113.0,22.0,28.0,59.0,40.0,21.0,156.0,39.0,41.0,75.0,1082.0
tell,65.0,91.0,203.0,178.0,45.0,73.0,36.0,36.0,59.0,22.0,142.0,45.0,16.0,44.0,1055.0
right,180.0,51.0,75.0,196.0,87.0,47.0,37.0,33.0,52.0,40.0,96.0,71.0,30.0,46.0,1041.0
could,101.0,44.0,103.0,327.0,41.0,50.0,35.0,120.0,58.0,6.0,66.0,61.0,6.0,23.0,1041.0
little,81.0,28.0,201.0,165.0,40.0,34.0,27.0,73.0,96.0,8.0,129.0,47.0,3.0,93.0,1025.0
girl,19.0,5.0,83.0,185.0,46.0,17.0,36.0,62.0,112.0,18.0,301.0,22.0,2.0,106.0,1014.0
well,52.0,71.0,242.0,138.0,93.0,49.0,38.0,47.0,130.0,26.0,40.0,40.0,34.0,8.0,1008.0
cause,57.0,63.0,119.0,136.0,80.0,50.0,12.0,51.0,82.0,38.0,156.0,67.0,37.0,39.0,987.0
good,105.0,43.0,140.0,141.0,88.0,35.0,25.0,57.0,62.0,9.0,158.0,65.0,33.0,16.0,977.0
ai,101.0,69.0,93.0,170.0,195.0,32.0,73.0,21.0,45.0,18.0,82.0,9.0,16.0,20.0,944.0
rock,70.0,29.0,66.0,2.0,390.0,8.0,49.0,23.0,173.0,63.0,11.0,1.0,6.0,1.0,892.0
around,99.0,47.0,98.0,166.0,100.0,31.0,38.0,29.0,81.0,22.0,88.0,52.0,6.0,20.0,877.0
wo,85.0,60.0,156.0,174.0,30.0,23.0,26.0,49.0,19.0,8.0,96.0,58.0,16.0,31.0,831.0
long,87.0,36.0,107.0,167.0,87.0,76.0,45.0,31.0,16.0,5.0,61.0,57.0,1.0,16.0,792.0
eyes,36.0,116.0,101.0,224.0,58.0,22.0,9.0,41.0,27.0,4.0,68.0,60.0,1.0,23.0,790.0
look,87.0,93.0,74.0,132.0,48.0,31.0,26.0,65.0,48.0,25.0,71.0,53.0,10.0,22.0,785.0
said,75.0,32.0,117.0,86.0,116.0,33.0,56.0,51.0,53.0,16.0,77.0,39.0,16.0,16.0,783.0
every,109.0,51.0,84.0,146.0,29.0,28.0,62.0,60.0,31.0,4.0,70.0,75.0,12.0,19.0,780.0
