palabra,The Beatles,The Rolling Stones,Beach Boys,The Who,The Doors,Led Zeppelin,Jimi Hendrix,Pink Floyd,Velvet Underground,Byrds,The Kinks,The Temptations,The Supremes,The Animals,The Yardbirds,total
minutes,1.0,4.0,8.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,26.0
touching,0.0,0.0,5.0,4.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,6.0,1.0,0.0,26.0
hidden,0.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,0.0,1.0,0.0,1.0,26.0
buddy,0.0,1.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,26.0
zero,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,26.0
bold,0.0,8.0,2.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,26.0
police,2.0,7.0,4.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,26.0
dragged,1.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,26.0
guru,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,26.0
jai,9.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
knockin,0.0,17.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,26.0
doncha,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
rush,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,5.0,1.0,0.0,25.0
mike,0.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
crystal,0.0,1.0,10.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,25.0
knocking,3.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,3.0,1.0,1.0,25.0
sack,4.0,5.0,4.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,25.0
fanny,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,25.0
dreamed,1.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,0.0,3.0,0.0,25.0
vibrations,0.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,25.0
candle,2.0,6.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,25.0
jumped,0.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,25.0
swim,1.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,25.0
uhhuh,0.0,11.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,25.0
aboard,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,9.0,5.0,0.0,0.0,1.0,25.0
sweat,1.0,6.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,25.0
hum,3.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,0.0,25.0
choo,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
shelf,1.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,6.0,25.0
danger,3.0,4.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,25.0
balloon,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,10.0,0.0,0.0,25.0
goo,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
flames,0.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,25.0
necessary,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,25.0
whiskey,0.0,2.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,25.0
hopes,0.0,0.0,2.0,4.0,0.0,3.0,0.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,0.0,25.0
mom,3.0,3.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,25.0
mood,4.0,3.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,25.0
makin,4.0,5.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,25.0
coast,0.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0
cigarette,1.0,4.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,25.0
cheer,1.0,0.0,2.0,5.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,25.0
louise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,13.0,25.0
dizzy,7.0,2.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,25.0
friday,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,2.0,25.0
bits,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,12.0,0.0,1.0,25.0
fuck,0.0,3.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0
crawdaddy,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
foolin,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,25.0
lit,1.0,2.0,10.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,25.0
whoo,6.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0
action,0.0,0.0,0.0,11.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,25.0
deny,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,3.0,2.0,0.0,25.0
papers,1.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,25.0
australia,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,25.0
voodoo,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0
block,1.0,4.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,0.0,25.0
board,0.0,3.0,12.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,25.0
naked,2.0,3.0,2.0,7.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,25.0
sadness,0.0,4.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,3.0,0.0,3.0,25.0
hoo,2.0,0.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,25.0
quarter,1.0,6.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,25.0
doorway,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,14.0,0.0,0.0,0.0,1.0,25.0
fox,0.0,3.0,0.0,0.0,9.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
mum,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,6.0,24.0
course,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,24.0
ends,3.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,24.0
dow,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
eeyo,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
brave,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,6.0,4.0,3.0,0.0,0.0,24.0
unkind,4.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,24.0
cello,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
frightened,4.0,1.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,24.0
killed,0.0,4.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0,24.0
fellow,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,8.0,1.0,0.0,24.0
sailing,3.0,3.0,3.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,24.0
panic,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,24.0
gang,1.0,1.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,24.0
horses,2.0,9.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,24.0
carpet,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,2.0,0.0,0.0,1.0,0.0,24.0
standin,4.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,24.0
hood,3.0,3.0,6.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0
deal,1.0,4.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,24.0
begging,1.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,24.0
split,1.0,2.0,8.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,24.0
drives,0.0,2.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,24.0
western,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,9.0,2.0,0.0,24.0
lake,0.0,2.0,9.0,2.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0
sides,1.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,3.0,0.0,9.0,1.0,0.0,0.0,1.0,24.0
shangrila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
mash,0.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0
resist,0.0,7.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,24.0
curse,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,6.0,4.0,0.0,3.0,1.0,0.0,24.0
sheets,0.0,4.0,2.0,5.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,24.0
maid,13.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,24.0
noble,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,24.0
followed,0.0,5.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,24.0
bum,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,24.0
bomb,0.0,1.0,0.0,10.0,1.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,24.0
following,0.0,5.0,2.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0
mix,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,5.0,0.0,0.0,1.0,24.0
theres,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,8.0,3.0,2.0,0.0,24.0
politicians,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,15.0,1.0,0.0,0.0,0.0,24.0
fresh,1.0,5.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,24.0
birthday,16.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0
givin,1.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,24.0
steady,4.0,6.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24.0
victoria,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,24.0
ancient,1.0,0.0,0.0,4.0,15.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0
tries,5.0,2.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,24.0
tobacco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,24.0
beast,0.0,8.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,24.0
dim,0.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,24.0
playin,1.0,4.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,23.0
local,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,23.0
talked,1.0,1.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,4.0,4.0,1.0,0.0,2.0,0.0,23.0
james,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,23.0
cuppa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,23.0
eating,3.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,23.0
swing,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,4.0,1.0,0.0,23.0
awhile,0.0,2.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,23.0
aww,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,23.0
penny,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,23.0
champagne,0.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,23.0
root,0.0,1.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0
president,0.0,10.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,23.0
postman,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
pocket,1.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,23.0
happens,1.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,23.0
christ,5.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,2.0,0.0,0.0,23.0
unless,7.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,23.0
steeple,0.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,10.0,0.0,0.0,23.0
sleepy,1.0,10.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,23.0
softly,1.0,1.0,8.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,23.0
self,2.0,1.0,0.0,1.0,2.0,0.0,6.0,1.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,23.0
roses,2.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,23.0
ceiling,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,23.0
mixed,0.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,23.0
billy,1.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,23.0
showing,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,23.0
mrs,0.0,1.0,0.0,6.0,0.0,0.0,0.0,7.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,23.0
beats,0.0,3.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,23.0
sale,0.0,8.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,23.0
wendy,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
wedding,2.0,7.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
symphony,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,23.0
ending,0.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,23.0
breakfast,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,1.0,23.0
caused,0.0,3.0,1.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0,23.0
l,2.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,23.0
sumahama,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
refuse,2.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,23.0
thanks,3.0,2.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,23.0
leather,1.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,23.0
rolled,0.0,4.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,23.0
english,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,1.0,0.0,3.0,1.0,23.0
cuz,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,1.0,23.0
energy,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,6.0,0.0,1.0,23.0
sunrise,1.0,0.0,2.0,6.0,0.0,2.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0
chicago,1.0,6.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,23.0
fallin,1.0,13.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,23.0
st,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,0.0,23.0
op,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
shade,6.0,0.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,23.0
serious,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,23.0
facts,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,1.0,1.0,0.0,23.0
names,0.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,23.0
drown,0.0,4.0,0.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,23.0
planned,3.0,0.0,6.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,23.0
truck,1.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,23.0
remind,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,4.0,0.0,1.0,23.0
havin,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,7.0,0.0,23.0
guns,0.0,8.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,23.0
rhyme,1.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,3.0,0.0,0.0,23.0
respectable,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,23.0
kicked,1.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,22.0
especially,3.0,2.0,1.0,4.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,22.0
pillow,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,3.0,4.0,0.0,22.0
shack,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,1.0,0.0,22.0
hammer,7.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,22.0
jimmy,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,10.0,22.0
gifts,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,4.0,0.0,0.0,22.0
bride,1.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,1.0,22.0
escape,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,3.0,7.0,0.0,0.0,2.0,0.0,22.0
underground,0.0,9.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,22.0
guard,0.0,5.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,22.0
ohoh,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,7.0,22.0
hook,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0
en,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0
ruin,4.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,5.0,2.0,0.0,22.0
calm,0.0,9.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,22.0
mona,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0
sympathy,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,22.0
blade,0.0,1.0,0.0,11.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0
goodness,6.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,22.0
robert,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,22.0
fault,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,22.0
di,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,2.0,22.0
tour,18.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
creepy,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0
visions,0.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,0.0,1.0,22.0
seek,0.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,7.0,1.0,2.0,0.0,0.0,22.0
disease,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0,22.0
mae,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0
caroline,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
sie,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
