palabra,Nirvana,Pearl Jam,Red Hot Chili Peppers,Oasis,Radiohead,Green Day,R.E.M.,Foo Fighters,Beastie Boys,Nine Inch Nails,Blur,Weezer,No Doubt,Smashing Pumpkins,Soundgarden,total
walk,8.0,45.0,53.0,14.0,9.0,85.0,66.0,22.0,24.0,0.0,4.0,54.0,10.0,43.0,17.0,454.0
ooh,6.0,57.0,66.0,0.0,0.0,40.0,2.0,52.0,15.0,0.0,30.0,106.0,21.0,57.0,1.0,453.0
waiting,3.0,21.0,45.0,23.0,16.0,30.0,18.0,57.0,5.0,6.0,24.0,81.0,20.0,66.0,32.0,447.0
die,26.0,19.0,38.0,28.0,8.0,64.0,14.0,57.0,21.0,14.0,9.0,66.0,7.0,48.0,25.0,444.0
sing,9.0,21.0,71.0,46.0,13.0,29.0,62.0,33.0,12.0,4.0,14.0,80.0,4.0,30.0,8.0,436.0
old,38.0,29.0,39.0,23.0,10.0,55.0,22.0,34.0,34.0,5.0,14.0,46.0,22.0,55.0,10.0,436.0
soul,8.0,29.0,48.0,64.0,20.0,27.0,5.0,26.0,17.0,14.0,21.0,28.0,4.0,111.0,9.0,431.0
even,33.0,24.0,45.0,12.0,28.0,43.0,28.0,13.0,28.0,20.0,11.0,80.0,11.0,41.0,13.0,430.0
change,3.0,49.0,17.0,37.0,11.0,18.0,35.0,62.0,20.0,16.0,17.0,17.0,30.0,81.0,15.0,428.0
thing,2.0,50.0,41.0,14.0,10.0,49.0,41.0,24.0,32.0,27.0,24.0,57.0,21.0,13.0,20.0,425.0
far,6.0,27.0,44.0,12.0,33.0,61.0,24.0,13.0,9.0,28.0,19.0,37.0,19.0,70.0,22.0,424.0
break,4.0,37.0,37.0,16.0,9.0,32.0,24.0,46.0,28.0,32.0,8.0,39.0,3.0,56.0,47.0,418.0
show,13.0,18.0,90.0,13.0,4.0,17.0,31.0,32.0,38.0,8.0,5.0,56.0,16.0,38.0,38.0,417.0
friend,29.0,31.0,83.0,15.0,10.0,27.0,16.0,25.0,6.0,9.0,7.0,92.0,39.0,13.0,15.0,417.0
everyone,5.0,21.0,39.0,20.0,18.0,26.0,17.0,41.0,15.0,12.0,17.0,54.0,8.0,112.0,6.0,411.0
enough,7.0,36.0,32.0,18.0,28.0,29.0,22.0,62.0,14.0,22.0,14.0,35.0,23.0,60.0,6.0,408.0
wrong,15.0,29.0,45.0,34.0,21.0,35.0,34.0,19.0,26.0,10.0,7.0,56.0,30.0,37.0,10.0,408.0
sky,11.0,32.0,60.0,47.0,13.0,23.0,43.0,42.0,7.0,20.0,10.0,30.0,6.0,23.0,38.0,405.0
real,7.0,31.0,23.0,16.0,10.0,23.0,36.0,24.0,41.0,25.0,3.0,21.0,50.0,86.0,7.0,403.0
thought,7.0,57.0,25.0,18.0,3.0,19.0,43.0,16.0,21.0,16.0,40.0,68.0,28.0,25.0,10.0,396.0
hand,11.0,51.0,42.0,17.0,13.0,39.0,23.0,41.0,29.0,10.0,27.0,28.0,17.0,16.0,28.0,392.0
song,11.0,28.0,62.0,27.0,15.0,15.0,41.0,43.0,20.0,2.0,6.0,42.0,9.0,60.0,10.0,391.0
two,6.0,29.0,66.0,9.0,14.0,14.0,16.0,42.0,73.0,14.0,23.0,33.0,18.0,20.0,14.0,391.0
looking,7.0,18.0,42.0,8.0,13.0,44.0,35.0,48.0,28.0,12.0,11.0,34.0,63.0,11.0,13.0,387.0
bad,18.0,16.0,46.0,27.0,15.0,42.0,39.0,21.0,33.0,4.0,14.0,53.0,25.0,13.0,19.0,385.0
wish,16.0,47.0,35.0,13.0,34.0,32.0,10.0,27.0,12.0,23.0,22.0,40.0,15.0,52.0,6.0,384.0
round,4.0,26.0,60.0,29.0,18.0,14.0,30.0,62.0,10.0,1.0,14.0,81.0,7.0,19.0,8.0,383.0
everybody,1.0,27.0,66.0,26.0,8.0,26.0,34.0,11.0,38.0,8.0,11.0,87.0,16.0,14.0,10.0,383.0
name,13.0,18.0,38.0,40.0,7.0,31.0,31.0,28.0,96.0,6.0,2.0,37.0,7.0,23.0,6.0,383.0
dead,6.0,27.0,36.0,7.0,31.0,76.0,7.0,40.0,12.0,19.0,11.0,17.0,7.0,72.0,15.0,383.0
