palabra,Arctic Monkeys,Imagine Dragons,Adele,Twenty One Pilots,Ed Sheeran,Mumford & Sons,The Black Keys,Tame Impala,Florence And The Machine,Kendrick Lamar,Lorde,Bruno Mars,Drake,The Weeknd,Lady Gaga,total
woah,10.0,24.0,4.0,29.0,13.0,0.0,0.0,0.0,30.0,19.0,1.0,2.0,258.0,122.0,32.0,544.0
enough,18.0,31.0,23.0,41.0,34.0,7.0,14.0,14.0,53.0,63.0,17.0,9.0,105.0,41.0,66.0,536.0
ayy,0.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,85.0,0.0,21.0,389.0,20.0,1.0,534.0
thought,50.0,23.0,13.0,11.0,38.0,10.0,11.0,16.0,41.0,51.0,38.0,17.0,125.0,58.0,31.0,533.0
talk,11.0,14.0,8.0,2.0,47.0,4.0,10.0,14.0,0.0,67.0,31.0,22.0,190.0,53.0,59.0,532.0
mine,27.0,22.0,5.0,4.0,64.0,43.0,27.0,4.0,19.0,30.0,3.0,25.0,148.0,49.0,62.0,532.0
okay,2.0,24.0,3.0,62.0,20.0,1.0,1.0,5.0,4.0,49.0,4.0,36.0,211.0,53.0,56.0,531.0
free,4.0,13.0,20.0,20.0,54.0,19.0,14.0,7.0,29.0,52.0,6.0,23.0,86.0,52.0,130.0,529.0
trying,28.0,29.0,25.0,48.0,45.0,10.0,5.0,25.0,42.0,40.0,8.0,32.0,115.0,57.0,20.0,529.0
maybe,17.0,21.0,9.0,22.0,119.0,13.0,14.0,13.0,21.0,48.0,13.0,12.0,109.0,25.0,73.0,529.0
without,18.0,47.0,24.0,14.0,51.0,18.0,15.0,5.0,10.0,23.0,7.0,18.0,96.0,73.0,108.0,527.0
wrong,25.0,46.0,25.0,14.0,41.0,16.0,25.0,15.0,11.0,39.0,10.0,41.0,110.0,54.0,53.0,525.0
pain,0.0,55.0,19.0,13.0,92.0,15.0,33.0,6.0,14.0,59.0,3.0,26.0,48.0,102.0,36.0,521.0
used,14.0,16.0,5.0,56.0,45.0,9.0,22.0,14.0,13.0,55.0,12.0,8.0,169.0,58.0,24.0,520.0
hope,13.0,33.0,13.0,33.0,47.0,33.0,10.0,12.0,21.0,69.0,8.0,43.0,90.0,60.0,32.0,517.0
break,13.0,29.0,9.0,37.0,90.0,17.0,25.0,9.0,23.0,27.0,8.0,21.0,92.0,74.0,42.0,516.0
girls,12.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,9.0,34.0,15.0,63.0,245.0,72.0,43.0,509.0
start,21.0,44.0,12.0,37.0,62.0,6.0,12.0,8.0,13.0,46.0,14.0,11.0,125.0,39.0,58.0,508.0
first,29.0,18.0,14.0,8.0,74.0,7.0,7.0,6.0,5.0,72.0,2.0,41.0,169.0,20.0,29.0,501.0
hand,15.0,26.0,13.0,16.0,94.0,27.0,16.0,3.0,25.0,47.0,8.0,32.0,86.0,18.0,74.0,500.0
watch,11.0,9.0,5.0,17.0,40.0,11.0,8.0,6.0,7.0,78.0,15.0,73.0,113.0,47.0,59.0,499.0
uh,22.0,1.0,0.0,2.0,20.0,0.0,4.0,0.0,7.0,65.0,0.0,48.0,213.0,61.0,55.0,498.0
bring,8.0,16.0,9.0,17.0,59.0,2.0,14.0,12.0,15.0,31.0,7.0,10.0,145.0,98.0,54.0,497.0
place,29.0,19.0,11.0,24.0,88.0,11.0,18.0,4.0,13.0,47.0,7.0,33.0,100.0,52.0,39.0,495.0
hands,14.0,30.0,19.0,27.0,35.0,40.0,18.0,3.0,13.0,26.0,5.0,29.0,88.0,10.0,124.0,481.0
