palabra,categoria,total_1960,total_1970,total_1980,total_1990,total_2000,total_2010,total_2020
strange,ADJ,258.0,64.0,393.0,138.0,123.0,74.0,61.0
hot,ADJ,257.0,198.0,501.0,209.0,775.0,243.0,616.0
cool,ADJ,256.0,121.0,296.0,143.0,404.0,195.0,261.0
arms,NOUN,253.0,180.0,529.0,203.0,272.0,271.0,165.0
children,NOUN,252.0,153.0,305.0,134.0,128.0,89.0,32.0
easy,ADJ,252.0,237.0,328.0,244.0,391.0,278.0,166.0
feet,NOUN,251.0,144.0,426.0,167.0,320.0,277.0,177.0
hands,NOUN,251.0,153.0,848.0,278.0,1032.0,481.0,487.0
pain,NOUN,250.0,274.0,634.0,337.0,534.0,521.0,182.0
lies,NOUN,249.0,230.0,398.0,222.0,286.0,261.0,117.0
mother,NOUN,248.0,134.0,335.0,197.0,373.0,189.0,60.0
dear,ADJ,239.0,85.0,181.0,131.0,86.0,67.0,57.0
car,NOUN,239.0,97.0,226.0,165.0,462.0,259.0,260.0
crazy,ADJ,235.0,297.0,528.0,274.0,1052.0,365.0,616.0
bit,NOUN,233.0,199.0,222.0,166.0,429.0,144.0,256.0
house,NOUN,230.0,170.0,525.0,178.0,658.0,322.0,197.0
ready,ADJ,230.0,313.0,680.0,131.0,685.0,385.0,290.0
words,NOUN,229.0,210.0,601.0,302.0,459.0,344.0,164.0
boys,NOUN,226.0,125.0,435.0,223.0,338.0,388.0,232.0
eye,NOUN,225.0,145.0,530.0,168.0,301.0,186.0,188.0
wind,NOUN,220.0,237.0,324.0,166.0,178.0,93.0,104.0
lot,NOUN,213.0,156.0,241.0,168.0,456.0,346.0,278.0
water,NOUN,211.0,122.0,475.0,180.0,324.0,251.0,106.0
tomorrow,NOUN,208.0,300.0,299.0,152.0,241.0,174.0,84.0
men,NOUN,205.0,154.0,156.0,89.0,327.0,95.0,81.0
ground,NOUN,201.0,145.0,382.0,234.0,320.0,231.0,150.0
talkin,NOUN,200.0,94.0,200.0,69.0,446.0,307.0,211.0
blues,NOUN,196.0,176.0,107.0,50.0,59.0,46.0,41.0
room,NOUN,196.0,132.0,482.0,263.0,405.0,332.0,244.0
wild,ADJ,192.0,191.0,878.0,152.0,274.0,139.0,276.0
news,NOUN,192.0,59.0,106.0,87.0,176.0,62.0,66.0
tired,ADJ,191.0,101.0,299.0,202.0,313.0,174.0,196.0
tight,ADJ,187.0,121.0,241.0,106.0,207.0,143.0,140.0
daddy,NOUN,187.0,104.0,295.0,109.0,429.0,147.0,257.0
bed,NOUN,186.0,123.0,352.0,210.0,291.0,223.0,245.0
glad,ADJ,186.0,107.0,124.0,72.0,97.0,59.0,52.0
air,NOUN,186.0,139.0,310.0,164.0,375.0,196.0,158.0
guy,NOUN,181.0,99.0,109.0,92.0,224.0,158.0,137.0
bright,ADJ,180.0,121.0,166.0,138.0,147.0,105.0,147.0
chance,NOUN,179.0,299.0,529.0,171.0,348.0,156.0,133.0
number,NOUN,177.0,71.0,182.0,56.0,277.0,152.0,84.0
great,ADJ,173.0,107.0,128.0,140.0,192.0,126.0,54.0
green,ADJ,173.0,54.0,140.0,111.0,273.0,128.0,99.0
poor,ADJ,172.0,67.0,134.0,38.0,103.0,52.0,6.0
stone,NOUN,170.0,102.0,191.0,104.0,74.0,94.0,54.0
word,NOUN,169.0,195.0,321.0,228.0,337.0,254.0,92.0
beautiful,ADJ,169.0,108.0,578.0,167.0,329.0,272.0,296.0
game,NOUN,166.0,211.0,420.0,171.0,1095.0,471.0,213.0
king,NOUN,164.0,145.0,197.0,200.0,335.0,224.0,93.0
strong,ADJ,162.0,241.0,373.0,188.0,286.0,175.0,99.0
stars,NOUN,162.0,138.0,296.0,230.0,247.0,207.0,162.0
loop,NOUN,161.0,10.0,24.0,8.0,12.0,11.0,6.0
