palabra,Billie Eilish,Halsey,Harry Styles,Lana Del Rey,Dua Lipa,Post Malone,Megan Thee Stallion,HAIM,Taylor Swift,Bad Bunny,Ariana Grande,Travis Scott,Doja Cat,Blackpink,total
body,5.0,25.0,6.0,84.0,63.0,10.0,70.0,1.0,49.0,4.0,71.0,28.0,67.0,8.0,491.0
bitches,2.0,0.0,0.0,7.0,1.0,37.0,276.0,0.0,1.0,0.0,8.0,78.0,74.0,4.0,488.0
hands,14.0,26.0,5.0,69.0,32.0,14.0,66.0,4.0,76.0,0.0,126.0,20.0,25.0,10.0,487.0
die,15.0,51.0,10.0,124.0,26.0,99.0,6.0,0.0,44.0,8.0,65.0,9.0,9.0,18.0,484.0
las,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,471.0,1.0,0.0,1.0,0.0,482.0
well,22.0,36.0,8.0,86.0,22.0,19.0,17.0,35.0,152.0,1.0,52.0,11.0,14.0,3.0,478.0
thought,22.0,9.0,5.0,42.0,42.0,63.0,13.0,11.0,142.0,0.0,77.0,29.0,18.0,4.0,477.0
blue,30.0,62.0,8.0,212.0,11.0,6.0,3.0,0.0,87.0,3.0,18.0,21.0,8.0,7.0,476.0
break,19.0,21.0,13.0,40.0,45.0,27.0,20.0,11.0,120.0,16.0,81.0,23.0,21.0,15.0,472.0
alright,10.0,6.0,17.0,50.0,73.0,29.0,22.0,9.0,47.0,2.0,76.0,109.0,21.0,0.0,471.0
fall,19.0,32.0,13.0,68.0,46.0,23.0,16.0,18.0,121.0,1.0,58.0,33.0,12.0,10.0,470.0
forever,7.0,12.0,0.0,106.0,35.0,11.0,10.0,15.0,144.0,2.0,41.0,32.0,3.0,52.0,470.0
wish,25.0,25.0,5.0,83.0,42.0,27.0,15.0,4.0,149.0,0.0,46.0,14.0,28.0,5.0,468.0
le,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,447.0,7.0,3.0,0.0,0.0,468.0
young,2.0,24.0,2.0,99.0,4.0,60.0,22.0,15.0,78.0,10.0,37.0,57.0,14.0,40.0,464.0
nobody,8.0,18.0,1.0,91.0,36.0,21.0,35.0,2.0,55.0,3.0,143.0,22.0,17.0,10.0,462.0
